기관명,번호,남은기간,제목,사업명,AI관련여부,품질인증관련여부,관련키워드,공고유형,신청시작일,신청종료일,마감Dday,신청기간,작성자,작성일자,상세링크
NIPA,344,상시모집,2026년 산업전문인력 AI역량강화 지원사업 발표평가 결과 및 지원 대상과제 선정 공고,산업전문인력 AI역량강화,Y,Y,"AI, 평가",R&D지원사업,,,,,김광혁,2026-04-20,https://www.nipa.kr/home/2-2/16726
NIPA,343,종료,2026년 코리아 국제 스트리밍 페스티벌 투자유치 쇼케이스 참가 기업 모집 공고(기간연장),K-OTT 확산지원사업,N,N,,R&D지원사업,,,,:,임슬아,2026-04-17,https://www.nipa.kr/home/2-2/16725
NIPA,342,종료,싱가포르IT지원센터 2026년 상반기 입주기업 모집 공고,해외IT지원센터(싱가포르) 운영,N,N,,R&D지원사업,,,,:,김수련,2026-04-15,https://www.nipa.kr/home/2-2/16720
NIPA,341,종료,2026년도 호치민IT지원센터 공간 효율화를 위한 인테리어 용역 입찰 공고,해외IT지원센터(호치민) 운영,N,N,,입찰(용역)공고,,,,:,이로운,2026-04-13,https://www.nipa.kr/home/2-2/16712
NIPA,340,상시모집,2026년 산업전문인력 AI역량강화 지원사업 서류평가 결과 및 발표평가 대상자 선정 공고,산업전문인력 AI역량강화,Y,Y,"AI, 평가",R&D지원사업,,,,,김광혁,2026-04-08,https://www.nipa.kr/home/2-2/16691
NIPA,339,D-68,2026년 DNA 융합 제품·서비스 해외진출 지원 사업  참여기업 모집 공고,DNA 융합 제품서비스 해외진출 지원,N,N,,R&D지원사업,,,,:,곽정호,2026-04-06,https://www.nipa.kr/home/2-2/16675
NIPA,338,종료,하노이 IT지원센터 ‘26년 상반기 연간/단기 입주기업 모집 공고,해외IT지원센터(하노이) 운영,N,N,,R&D지원사업,,,,:,이서현,2026-04-06,https://www.nipa.kr/home/2-2/16680
NIPA,337,종료,[재공고]2026년 소프트웨어 인재키움 사업 수행지역 및 기관 선정 공고,소프트웨어 인재키움,N,N,,R&D지원사업,,,,:,주다인,2026-04-03,https://www.nipa.kr/home/2-2/16671
NIPA,336,종료,「K-테크 파이오니어즈」 글로벌 한국 인재·팀 모집 공고,K-테크 파이오니어즈,N,N,,R&D지원사업,,,,:,강현우,2026-04-02,https://www.nipa.kr/home/2-2/16666
NIPA,335,상시모집,2026년 SW IP(지식재산권) 평가보증 지원사업 신청안내,SW기술가치확보 및 사업화지원,N,Y,평가,R&D지원사업,,,,,윤진아,2026-04-02,https://www.nipa.kr/home/2-2/16669
NIPA,334,D-129,[접수마감]「첨단 GPU 활용 지원 사업」사용자 수시 모집 공고,AI컴퓨팅자원 활용기반 강화사업 (첨단 GPU 활용 지원),Y,N,AI,R&D지원사업,,,,:,정윤서,2026-04-01,https://www.nipa.kr/home/2-2/16668
NIPA,333,종료,2026년「디지털콘텐츠 융합기업 글로벌 마켓 참가사업(AWE USA 2026) 지원기업 모집 공고,디지털콘텐츠 융합기업 글로벌 마켓 참가,N,N,,R&D지원사업,,,,:,임혜순,2026-04-01,https://www.nipa.kr/home/2-2/16665
NIA,29739,신규,[입찰공고] 제2차 재난안전통신망 기본계획 수립 [첨부파일],재무관리팀,N,N,,입찰(용역)공고,,,,,이용진,2026.07.23,"doBbsFView('78336','29739','16010100','29739');return false;"
NIA,29738,신규,[조달입찰공고] 국방 지능형 플랫폼 고도화 구축 [첨부파일],재무관리팀,Y,N,지능형,입찰(용역)공고,,,,,장경수,2026.07.23,"doBbsFView('78336','29738','16010100','29738');return false;"
NIA,29737,신규,[입찰공고] 차세대 네트워크 선도 연구시험망 과제기획(KOREN 6.0) [첨부파일],재무관리팀,N,Y,시험,입찰(용역)공고,,,,,장경수,2026.07.23,"doBbsFView('78336','29737','16010100','29737');return false;"
NIA,29729,신규,[입찰공고(재공고)] 디지털역량(지원)센터 기반의 디지털취약계층 지원 방안 수립 [첨부파일],재무관리팀,N,N,,입찰(용역)공고,,,,,정하윤,2026.07.23,"doBbsFView('78336','29729','16010100','29729');return false;"
NIA,29728,신규,[입찰공고] 제12회 글로벌 ICT 리더십 포럼 운영지원 [첨부파일],재무관리팀,N,N,,입찰(용역)공고,,,,,배보배,2026.07.22,"doBbsFView('78336','29728','16010100','29728');return false;"
NIA,29727,신규,[사전규격공개] 신규 스마트워크센터(인천) 구축 공사(소방) [첨부파일],AI정부혁신성과팀,Y,N,AI,기타,,,,,김성수,2026.07.22,"doBbsFView('78336','29727','16010100','29727');return false;"
NIA,29726,신규,[사전규격공개] 신규 스마트워크센터(인천) 구축 공사(통신) [첨부파일],AI정부혁신성과팀,Y,N,AI,기타,,,,,김성수,2026.07.22,"doBbsFView('78336','29726','16010100','29726');return false;"
NIA,29725,신규,[사전규격공개] 신규 스마트워크센터(인천) 구축 공사(전기) [첨부파일],AI정부혁신성과팀,Y,N,AI,기타,,,,,김성수,2026.07.22,"doBbsFView('78336','29725','16010100','29725');return false;"
NIA,29724,신규,[사전규격공개] 신규 스마트워크센터(인천) 구축 공사(실내건축) [첨부파일],AI정부혁신성과팀,Y,N,AI,기타,,,,,김성수,2026.07.22,"doBbsFView('78336','29724','16010100','29724');return false;"
NIA,29723,신규,[사전규격공개] AIEP 메일 계정 및 빅테크 교육 플랫폼 연동 운영 [첨부파일],AI기술전략팀,Y,N,AI,기타,,,,,전호현,2026.07.22,"doBbsFView('78336','29723','16010100','29723');return false;"
NIA,29722,신규,[사전규격공개] 국방 지능형 플랫폼 고도화 구축 [첨부파일],AI기술전략팀,Y,N,"AI, 지능형",기타,,,,,박수영,2026.07.22,"doBbsFView('78336','29722','16010100','29722');return false;"
